12:46:07        CPU     %user     %nice   %system   %iowait    %steal     %idle
12:47:46        all     18.33      0.00     23.06      0.00      0.00     58.61
12:47:47        all      4.43      0.00     35.44      0.00      0.00     60.13
12:47:48        all      3.88      0.00     27.18      0.65      0.00     68.28
12:47:49        all      2.23      0.00     24.84      0.00      0.00     72.93
12:47:50        all      1.97      0.00     21.05      0.00      0.00     76.97
12:47:51        all      2.86      0.00     29.84      0.00      0.00     67.30
12:47:52        all      1.60      0.00     30.45      0.00      0.00     67.95
12:47:53        all      1.63      0.00     28.99      0.33      0.00     69.06
12:47:54        all      3.86      0.00     24.63      0.00      0.00     71.51
12:47:55        all      2.64      0.00     24.34      0.00      0.00     73.02
12:47:56        all     15.31      0.00     17.50      0.00      0.00     67.19
12:47:57        all      2.69      0.00     28.66      0.00      0.00     68.66
12:47:58        all      3.34      0.00     25.84      0.00      0.00     70.82
12:47:59        all      2.51      0.00     19.44      0.00      0.00     78.06
12:48:00        all      3.61      0.00     22.89      0.00      0.00     73.49
12:48:01        all      2.19      0.00     19.75      0.00      0.00     78.06
12:48:02        all      2.58      0.00     16.33      0.00      0.00     81.09
12:48:03        all      0.76      0.00      0.50      0.00      0.00     98.74
12:48:04        all      0.50      0.00      2.50      0.00      0.00     97.00
12:48:05        all      2.53      0.00      8.84      0.00      0.00     88.64
12:48:06        all     20.58      0.00     18.84      0.00      0.00     60.58
12:48:07        all      3.95      0.00     37.17      0.00      0.00     58.88
Average:        all      4.09      0.00     19.75      0.03      0.00     76.13
